id,text
296085045645570048,@thamonstar a lot of water moving around and a bit dirty. Probably should give it a miss today
295322319302295552,"To ALL of my friends,in the UK &amp; Australia,stay safe &amp; look after yourself &amp; your loved ones"
295412327640080384,Waiting out the storm  with slipped_diss  @ Kookaburra Cafe http://t.co/Pwubs60t
295706437026455553,#FitzroyRiver catchment is 2nd largest in #AUS and peak not expected to hit #Rockhampton for another week! #BigWet #QldFloods
295681670592471042,".....the rowing club next to out apartment block is underwater, warm &amp; wet...."
295679702218194945,North end of Clarendon St in East Brisbane is flooded :/ #bigwet http://t.co/uMzPDtbi
295470181176729602,The flooding in firth park is insane!! Mudgeeraba Creek is putting on a show!!! Not one you get involved in tho its view from a distance!
295701715309715456,Tree down at Crosby park in storms last night #bneweather http://t.co/6G18HGxe
295802797461471232,"Here we go again, keep safe everyone! #nofilter @ Albion http://t.co/s1gSpyEx"
295433453346910209,A little too close for comfort... #cyclone #wet #floodedin #downthestreet @ Coorparoo http://t.co/iUGUHN6h
295376503464665088,Anyone here that lives on the gold coast aswell?
295685117756727297,@judi_jabour you guys keeping dry? power still on?
295506247891959808,Flooding at She bangs Coffee eep http://t.co/EJNr1MT4
295775392449572864,"Floods,fires,cyclones,tornados,droughts,heatstroke,king tides. Australia doesn't get much"
296446703702261760,Logan river peaking.. Stay safe my fellow qld'ers!  @ Old Pacific Highway Bridge http://t.co/KRDjSjm8
295480528293990400,@Al_Otaibi_88 it's heavy raining   and strong winds we just stay at house terrible
296383449869201409,Flood flood flood... I decide to take a long weekend and head to Brisbane and end up trapped!!
296128679443050497,"@ThatParawh0re its not that bad, we had it worse in 2011. Im just hoping the school gets flooded out and we don't have to go tomorrow either"
295513419296174080,"@EmilyRaadke @yougomarniecoco @cassietee_ I'm sorry  out tracks are under, we have no power and the bridge is under :/"
295672729556893698,"forget trying to use flood maps, these suburb, street lists are quicker and more informative http://t.co/Ft7HVUQX #bigwet #qldflood"
296110784105291777,Free entry for storm affected green waste into Brisbane dumps #BneFlood
295439887983849472,We have battened down our flat in new farm and currently curled up with the cat and doctor who. Thinking of you all in the #bigwet #staysafe
295666274153947136,"The fact this is Main Street and it is completely under water, scary http://t.co/SE4tLDUz"
295793341516365824,"@CycleBoomTime yep, u still have property in the flood zone ? #notpro"
295890132664479744,"@_aleeexsm the cyclone, tornado &amp; floods are coming your wat"
295646202618339328,Just spoke to my parents stuck in Aratula. 100's people stuck there trying to head north/south. Both directione cut off by water #qldfloods
296515779837440000,@9NewsBrisbane unmentioned flood victims need your help!! http://t.co/wnFYdaZD
295857414903853056,My set up second night in a row #powerout #storm #nowater #candlelight @ My Bedroom http://t.co/HdLScyQu
295422261991718913,Leaving the gym now onto flood stricken roads. Wish me luck!
295723261373870080,"Heavy Rain, Strong Winds, Roads Flooded, Trees Down - what do we do? Play dress ups of course @ Price House http://t.co/KXJbbtEr"
295483855807332353,"Feel sorry for those who bought houses in flood zones after 2011 thinking it'll never happen again, particularly 1974-2011 #bigwet"
295345672851439616,Flood water is halfway up our driveway in our new house #buggeroffloods
295473012445175808,"@namgoreng Yeah I might not be able to get to work on tuesday, Brisbane CBD might be flooded :("
295638564643950592,@melissadoyle @melissadoyle @sunriseon7 the Sunshine Coast is still getting really strong winds and rain. Roofs were lifting off last night!
295600845851074560,@tdlluvpit @KenWahl1 saddest thing is the family that got washed away in #car w/son in wheelchair in it #stillmissing &amp; displaced pets :(
295499854342418432,@Kyliem001 oh yeah we are okay.. We've been flooded in for past 5 days or so.. It's all moved down south. We have no bet or free to air
296101682352365568,Last 4 days of work then traveling yo' the floods are pretty mental though that cyclone was nuts
295845352681140225,"@mellansquare hey Mel, how are you doing down there in Bundy? It sounds pretty dire :-/"
295647950028279808,"There's a cyclone blowing, torrential rain, trees falling down everywhere but people still wanna go jogging!! #deathwish #idiots"
295687779420102656,@ADRL sorry din't know exactly. Ploughed said SES are sandbagging Lismore now. Trying to get wifi connection to see road closures.
296022765088157697,"@KHalicos thank you, &amp; yes we pray &amp; hope for it to settle down soon :)"
295393955644862464,@QPSmedia: BOM: There is still the potential for #tornado activity across SEQ. #bigwet
295696209132285952,"Oz news, wind and rain continue over night, lots of flooding, may have difficulty meeting people and getting our flight to Singapore. Wet!!!"
295992547791208448,Business counting carbon tax. More businesses in trouble from floods than carbon tax. #ClimateChange #auspol  http://t.co/oJSVrj0p
295448738007220224,Redcliffe storm tide evacuation zones maps: http://t.co/Gcmne1e3 #bigwet
296130596831367169,@jameshep yeah no power last I spoke to my parents. They did get a generator though! Lucky to be sitting inside work today though!!
295859321093386240,Thoughts with every one caught up in the QUEENSLAND floods.Stay safe.x
295711407478026240,Still waiting on a reply about the 2011 flood relief funds that have not been distributed. Who has that money. Any Gov official will do.
295405231372660736,School might not start on the 29th if the rain persists! Oh yeah!
295414726580641792,Wild wind and rain along the Logan River today @MarkMcArdleMP. Please explain how Energex helicopters will lift lines &amp; restore power. #BS
296385973997158402,Hi Brisbane! Your weather sucks. (@ Avid Reader) http://t.co/1SE3zPEM
295436928042561536,@katjones84 I was but then cancelled. It's a big call staying open I reckon. Apparently brisbane hasn't seen the worst of the storm yet!
296107814491914240,@612brisbane @SEQincidents thanks guys power back on in Yeronga after 30 hours yay
295784185610788864,@ttinawilliamss we are fine in our area cuz :) thanks. bt look at my street.lol http://t.co/jvoJ2xNS
296807842256654337,impact of #floods fresh fruit and vegetable shelves empty in #woolworths #Townsville #Qldfloods
296075758143676416,Water water and more water as the Mary river floods Maryborough http://t.co/80T0K0CJ
295780520313360385,@MarkGellie @paulrowney weather went crazy so I got an earlier flight. Fly out tonight then hang out in Dubai for a few hours
295439077031940097,having fun main hujan mcm 15 thun lepas.. :) #weather #rain #thunderstorm #australia  @ Nundah Village http://t.co/ropTNTVH
295672405102309376,"Waters up at bottom of Bright St, Kangaroo Point http://t.co/TlGdUoum"
296601511755128832,@amandaashby Fingers crossed you weren't battered about too much in those weekend storms. xx
295696173950435329,@Mel_Tea it's the winds that are a bit of worry as all that water soaks the ground &amp; wind knocks over trees.
